is_landslide,dem,slope,twi,landcover,soil_sand,soil_clay,soil_cfvo,rain_annual_norm,rain_monsoon_norm,snow_winter,snow_spring,rain_event_7d,rain_antecedent_30d,rain_max_daily,runoff_event_7d,runoff_antecedent_30d,runoff_max_daily
1,3631.0,23.298254,9.698703,60.0,47.0,20.0,23.0,178.4403,110.636986,0.77467126,0.94610757,43.41808,22.880766799999996,42.368828,0.000853653079,0.0002915455957,0.012222909
1,754.0,6.4159813,11.36102,50.0,40.0,26.0,15.0,1174.0975,850.2095,0.9633733,0.99185944,461.99918199999996,283.1715295,273.92578,0.11947668909999999,0.022277156750000002,0.03980044
1,2195.0,6.410101,11.10879,30.0,28.0,30.0,14.0,857.20306,319.53342,0.39221695,0.92629343,179.71684,85.3829983,179.71684,0.2323084485,0.1232256104,0.061984558
1,2881.0,34.534992,9.572118,60.0,33.0,26.0,19.0,2062.6362,959.4507,0.19260488,0.5912018,430.49943,243.59184399999998,351.56375,0.41484214659999996,0.1275757029,0.14166431
1,1135.0,8.571549,11.378292,50.0,38.0,27.0,13.0,1292.93,718.97296,0.9155656,0.99612576,174.62766,243.43197799999996,174.62766,0.19577971359999996,0.02276609129,0.07082025
1,1815.0,34.193027,9.665521,30.0,37.0,23.0,22.0,739.1273,290.6253,0.29485577,0.78234935,139.8682,53.103094999999996,194.12634,0.10546383490000001,0.06854094623,0.044205774
1,4689.0,33.456535,9.54099,60.0,38.0,24.0,30.0,194.63321,36.873997,0.2150336,0.22577757,33.599686000000005,0.0,21.276558,0.0054615667,0.016033521683999994,0.015697116
1,1508.0,26.106604,10.079457,10.0,37.0,23.0,22.0,1146.287,541.41815,0.48994917,0.9357707,248.3824,169.611177,248.3824,0.1713700903,0.04551526532000001,0.05978171
1,755.0,21.372917,13.814004,50.0,36.0,27.0,16.0,1002.1583,487.8425,0.79652613,0.98266983,368.09739,142.1384736,230.62512,0.08465237319999999,0.019438621380000003,0.041324068
1,1818.0,17.689846,10.871327,30.0,34.0,24.0,13.0,1022.33167,613.17224,0.8383077,0.9717133,393.75063,220.96689270000002,248.33884,0.11511795069999999,0.035613879849999995,0.041020483
1,3616.0,25.773054,10.237806,50.0,37.0,23.0,22.0,509.86573,215.940125,0.41061576,0.57146537,0.0,0.0,0.0,0.0,0.0,0.0
1,1488.0,34.889915,9.640354,10.0,34.0,25.0,15.0,1343.8058,1033.4226,0.91030294,0.98514736,479.61173999999994,348.89547519999996,271.29898,0.1474744021,0.025941754839999998,0.056930102
1,1057.0,12.865266,10.719804,50.0,38.0,27.0,16.0,1203.1489,692.11633,0.95956784,0.9934732,189.68793,249.32133600000003,189.68793,0.19780578896999998,0.02464473497,0.07197518
1,871.0,28.973316,11.1412735,10.0,35.0,28.0,16.0,1023.8755,486.66187,0.8339767,0.98643744,371.70429,139.4560308,227.82526,0.08420299129999999,0.01897270767,0.040991575
1,1229.0,28.500563,10.483186,30.0,34.0,26.0,18.0,613.14435,371.92618,0.9050674,0.98223513,361.73861999999997,128.153814,205.61203,0.0558649455,0.026061100389999998,0.04647769
1,1063.0,29.88154,10.436724,30.0,35.0,26.0,18.0,656.7314,404.5318,0.6168012,0.9820428,374.80282,149.6220753,202.75269,0.0577408092,0.024033980249999996,0.054306213
1,1593.0,2.6429977,13.333199,40.0,19.0,27.0,14.0,599.0878,212.11292,0.6901121,0.95585746,228.17810399999996,64.8753281,144.8876,0.160907176,0.249347129,0.07742076
