date,rain_1d,rain_3d,rain_7d,rain_14d,rain_30d,rain_60d,rain_90d,max_rain_3d,snow_cover,snow_melt_7d,lst_day,melt_energy,doy_sin,doy_cos,rec_30_90,rec_7_30,is_flood
2000-03-30,1.3425332886042434,4.2772747503462405,4.622464001818053,15.720026030373809,25.063143838174977,44.014302133771906,60.826812256680654,1.6726450859121502,-7809.478172396502,0.0,-4316.745331043828,-0.0,0.9997451236925734,0.022576263041545485,0.41204105407352287,0.18443272845832445,0
2000-03-31,2.832306204716273,5.436935869150363,7.427198958650213,14.876242354699478,27.55171856932293,44.599533473442186,63.65911846139693,2.832306204716273,-9542.36964844191,6264.433184716998,-9147.394518151605,-57303241.77320726,0.9999855506507186,0.005375731557583884,0.4328008184095476,0.2695729828962438,0
2000-04-01,0.363089037583459,4.537928530903976,7.728914558871857,13.516007775428594,27.836177010110312,42.377728268798045,64.02220749898039,2.832306204716273,-6483.509770503092,4930.76222511196,-1126.5816426374756,-5554906.207021446,0.9999300657962057,-0.011826390691832589,0.4347893972658413,0.2776571853262988,0
2000-04-02,0.0060629518855132,3.201458194185245,7.7099554193736735,13.214892256416777,27.26956412655142,41.98619458901825,64.0282704508659,2.832306204716273,-2506.0139017649017,1301.1962594505744,8048.441049387534,10472601.387871515,0.9995786855478958,-0.029025013321975237,0.4258988089874702,0.28273115710957625,0
2000-04-03,0.2752277952525947,0.6443797847215669,7.75396073978408,11.903849322979424,24.193895808400747,42.15236680443835,64.3034982461185,0.363089037583459,-5857.459986011906,2464.470101596312,1486.406186026685,3663203.6042905706,0.9989315138848577,-0.046215046983708354,0.3762454060555118,0.32049244161379353,0
2000-04-04,1.940340252155313,2.2216309992934207,8.021655906027243,12.263839559242681,25.71997247946484,43.25831310681302,66.21620118778594,1.940340252155313,-4844.849161330325,1636.8807294339636,4032.2792628742286,6600360.2210950125,0.9979887423155984,-0.06339140486951038,0.3884241623364083,0.3118843114016486,0
2000-04-05,0.0820072312378873,2.297575278645795,6.841566761435284,10.639619059184623,24.53771316084379,42.70011163154977,66.25623956494063,1.940340252155313,-5267.618388152925,0.0,3258.4095716044585,0.0,0.9967506498213929,-0.08054900421874167,0.3703456960727949,0.2788184341625102,0
2000-04-06,0.0399621828124128,2.062309666205613,5.538995655643453,10.161459657461506,23.879380188261628,42.720244240961506,65.49661202835287,1.940340252155313,-2098.661166146976,0.0,11181.862331340151,0.0,0.9952176027737294,-0.09768276782171598,0.36458954820326384,0.2319572623734285,0
2000-04-07,0.9094963274362962,1.0314657414865962,3.616185778363476,11.043384737013689,24.726283325567447,43.627815707467406,66.22873059190557,0.9094963274362962,-8335.080543508273,0.0,-4308.323042684753,-0.0,0.9933900548258936,-0.11478762552212701,0.3733467802354266,0.14624865899778278,0
2000-04-08,0.4744164667997491,1.423874977048458,3.7275132075797663,11.456427766451622,25.200429611935718,44.017386079349755,66.04688524774866,0.9094963274362962,-6758.392449472441,274.8826789693485,-746.348127964897,-205158.17285874902,0.9912685467787256,-0.13185851571739118,0.3815536420439255,0.147914669113986,0
2000-04-09,0.1543913457843619,1.538304140020407,3.875841601478615,11.58579702085229,25.138222157311898,43.11290031320533,65.79491538370574,0.9094963274362962,-5390.623315202066,2884.609413437164,2281.043548801865,6579919.693333976,0.9888537064205885,-0.1488903868564548,0.38206937436897187,0.15418121366038043,0
2000-04-10,0.0240315271953268,0.6528393397794376,3.6246453334213466,11.378606073205427,24.66793413804699,39.84894493645033,61.941082084132,0.4744164667997491,-1205.6512928353206,0.0,12838.053582382096,0.0,0.986146248341595,-0.16587819893463143,0.3982483564710988,0.14693753085025535,0
2000-04-11,0.0343272729077522,0.2127501458874408,1.7186323541737862,9.74028826020103,24.184338925785536,39.022106273751774,57.040348502210584,0.1543913457843619,-1100.1552600109796,0.0,13685.333603689496,0.0,0.9831469737221499,-0.1828169249850199,0.4239865211350923,0.071063854978536,0
2000-04-12,0.0992979143602467,0.15765671446332558,1.7359230372961456,8.57748979873143,24.035267412656886,38.59884345362645,56.8434645003789,0.0992979143602467,-899.5243470231223,0.0,13809.498800283563,0.0,0.9798567700958665,-0.1997015525660636,0.4228325564585648,0.07222399516062862,0
2000-04-13,0.5984181548846406,0.7320433421526393,2.2943790093683734,7.833374665011826,24.62250369752703,39.17772299407362,56.291160048246766,0.5984181548846406,-3016.389408876192,917.7282427292162,8609.395078622822,7901085.016466084,0.9762766110869321,-0.21652708524481437,0.43741332877885714,0.09318219777945694,0
2000-04-14,1.1173180516897798,1.815034120934667,2.502200733621857,6.118386511985333,25.716147261221884,39.97085530712826,56.52442110095842,1.1173180516897798,-6872.601080727913,0.0,-1471.967716407855,-0.0,0.9724075561219968,-0.23328854407545518,0.45495640221224387,0.09730076236555843,0
2000-04-15,0.0836339600911308,1.7993701666655513,2.1114182269132384,5.838931434493006,24.754352707166547,39.57681032310674,56.47888166601985,1.1173180516897798,-4844.999045020286,0.0,2590.8373818383893,0.0,0.9682507501166718,-0.2499809690726521,0.4382939600955279,0.08529482680845737,0
2000-04-16,0.0648474672121176,1.265799478993028,2.021874348340994,5.8977159498196094,21.143110293988062,38.66916921428738,56.501719303087754,1.1173180516897798,-4226.788461508297,0.0,3936.235863604125,0.0,0.9638074231367307,-0.26659942067929354,0.37420295443704515,0.09562804716181725,0
2000-04-17,0.3020421593670468,0.45052358667029524,2.299884980512714,5.924530313934062,19.721828836500762,38.82270691025332,55.199516557897745,0.3020421593670468,-3301.6925788886456,2096.041286053325,7500.596873962096,15721560.717867061,0.9590788900341131,-0.28313898122818354,0.35728263699220814,0.11661621239994405,0
2000-04-18,0.4665161835399493,0.8334058101191137,2.7320738911449114,4.450706245318697,19.881166549143384,38.97292509535477,54.77856911189401,0.4665161835399493,-7904.094992928734,6803.939732917755,-4741.632438193765,-32261781.345118243,0.9540665500578387,-0.2995947563972602,0.36293694544180066,0.13742020038872557,0
2000-04-19,0.6393898310233301,1.4079481739303263,3.272165807807995,5.00808884510414,18.934285651476763,38.621731860207774,55.41795894291734,0.6393898310233301,-4911.393500169823,4011.8691531467002,2374.6506982987403,9526787.886002988,0.9487718864399473,-0.31596187665790293,0.3416633526864426,0.17281696643003722,0
2000-04-20,0.4250794046429664,1.5309854192062458,3.0988270575663206,5.393206066934694,17.779015040227673,37.39080340498337,55.68480901340372,0.6393898310233301,-5519.586022800273,2503.196613924081,2693.7789954662826,6743058.460111011,0.9431964659565866,-0.33223549871590435,0.3192794472177886,0.17429689161940423,0
2000-04-21,2.2692838730855924,3.333753108751889,4.250792878962134,6.752993612583991,18.342071182017325,39.130020572221746,57.94363082317252,2.2692838730855924,-4417.045252441454,0.0,5893.578866954099,0.0,0.9373419384643772,-0.3484108069446808,0.3165502561962696,0.23175097494603752,0
2000-04-22,1.1943689884832065,3.8887322662117656,5.361527907354209,7.472946134267448,19.018318585964998,40.10887714805262,59.13497919453752,2.2692838730855924,-6787.171976168776,1942.1729311484905,-1240.5526724497024,-2409367.820095732,0.9312100364121947,-0.3644830148102912,0.321608612110948,0.2819138759885362,0
2000-04-23,0.6224946010679474,4.086147462636746,5.919175041210039,7.941049389551034,19.613241939148836,40.51082738189565,59.54340359111244,2.2692838730855924,-5879.482665939764,1652.6942044314674,949.5783875307176,1569362.697725395,0.9248025743285089,-0.38044736628785164,0.32939403454048344,0.30179483124588,0
2000-04-24,0.4224547156501359,2.23931830520129,6.039587597493128,8.339472578005843,19.974323217437156,40.93301741299671,59.66793486464484,1.1943689884832065,-4220.4389879034525,918.7464090148069,5668.911593567886,5208292.169612901,0.9181214482844364,-0.39629913726891813,0.3347580784008763,0.3023675711936361,0
2000-04-25,0.1428959161317056,1.187845232849789,5.715967330084884,8.448041221229795,20.092197042185163,41.074627627473944,59.807927209045836,0.6224946010679474,-4227.450570236664,0.0,5126.120953319925,0.0,0.9111686353326631,-0.41203363695942635,0.3359453834933483,0.2844869238582399,0
