is_flood,dem,slope,twi,landcover,soil_sand,soil_clay,soil_cfvo,rain_annual_norm,rain_monsoon_norm,snow_winter,snow_spring,hand,rain_event_7d,rain_antecedent_30d,rain_max_daily,runoff_event_7d,runoff_antecedent_30d,runoff_max_daily
1,358.0,3.897274,12.303681,80.0,23.0,19.0,9.0,1161.2072,797.9968,0.9877935,0.99513954,5.5302887,136.79218,231.0274,136.79218,0.08557997,0.014735881,0.02841427
1,251.0,1.8663366,12.732751,40.0,37.0,24.0,5.0,887.21936,631.51337,0.98991024,0.9981808,12.421752,94.981514,177.1907,101.80091,0.13625155,0.019368052,0.07956119
1,344.0,3.8287277,13.839428,80.0,36.0,24.0,23.0,1175.7803,807.52203,0.9983211,0.9985109,0.67876863,144.11943,258.22073,144.11943,0.11797436,0.026144344,0.036812082
1,225.0,2.153148,12.575655,10.0,33.0,28.0,2.0,817.26843,576.4581,0.98440033,1.0,1.5457735,0.0,162.79358,202.93205,0.18669203,0.021085065,0.09262268
1,698.0,10.587737,11.109864,10.0,36.0,23.0,15.0,1222.505,858.49164,0.99097586,0.9984076,39.140648,582.05804,196.95776,577.19446,0.22644202,0.035087857,0.08573586
1,2161.0,28.68141,9.635916,30.0,28.0,26.0,15.0,1149.5414,551.1914,0.16740948,0.7942812,574.6229,280.20306,182.49397,280.20306,0.18189383,0.04131864,0.06516689
1,359.0,8.576086,13.053486,80.0,35.0,22.0,17.0,1134.8658,837.29803,0.9645242,0.99614394,12.600615,508.58258,249.86523,394.08978,0.10847252,0.019239636,0.04390379
1,1906.0,32.32455,9.422857,10.0,31.0,20.0,15.0,1566.4529,617.107,0.3799509,0.89445996,404.08392,370.97934,149.01825,206.65639,0.3244964,0.21561337,0.10571099
1,807.0,11.915299,11.190561,60.0,38.0,27.0,14.0,1195.8513,867.5555,0.97054464,0.99931806,43.633255,440.70078,290.28494,265.31076,0.1293138,0.028101029,0.04514515
1,1576.0,28.724506,9.93171,10.0,31.0,32.0,16.0,1277.534,890.435,0.6992193,0.9498039,233.1517,452.32346,299.756,274.77814,0.15744512,0.03419042,0.05726858
1,718.0,19.189575,9.99015,20.0,39.0,27.0,15.0,1252.2594,950.21515,0.96261376,1.0,179.74973,603.32263,321.85944,283.57147,0.008964979,0.00805481,0.0025894484
1,1609.0,23.025818,10.41767,10.0,32.0,31.0,14.0,1066.0255,651.18195,0.8082699,0.9605716,81.5983,424.66953,223.07033,240.85837,0.17148829,0.057497032,0.05771806
1,859.0,33.61044,9.408508,10.0,35.0,28.0,17.0,1268.0656,814.6219,0.929871,0.9872885,311.21387,428.52777,229.8084,281.24942,0.2096517,0.052980877,0.06803347
1,1175.0,23.178638,10.023922,10.0,40.0,20.0,16.0,698.58136,396.74356,0.9531146,0.9925897,216.24088,310.73682,145.51208,173.4448,0.07820833,0.02790486,0.04034392
1,227.0,2.4071631,12.608712,40.0,29.0,27.0,2.0,767.10297,581.185,0.9836415,1.0,3.2310922,255.60904,140.36145,255.60904,0.12854664,0.013721202,0.07642079
1,216.0,0.49655956,18.700264,40.0,30.0,29.0,6.0,854.2545,595.402,0.9849354,0.99298334,0.5497757,0.0,204.27112,164.18436,0.19488917,0.034356866,0.10056753
1,236.0,1.3571696,13.478458,40.0,37.0,21.0,3.0,958.69934,737.6304,0.9756313,0.9974033,1.443929,318.57178,234.68677,168.41353,0.1371916,0.025205074,0.0866074
1,236.0,2.0655105,12.715608,40.0,36.0,25.0,4.0,850.939,634.70654,0.96344906,1.0,1.5966356,264.9547,161.49928,264.9547,0.12429401,0.017653452,0.078631654
1,271.0,2.595955,12.2476635,10.0,38.0,21.0,6.0,951.94006,699.9878,0.9832521,0.99692684,10.059257,187.17812,205.19916,187.17812,0.1309568,0.020873632,0.08262324
1,353.0,4.940772,12.329256,40.0,36.0,24.0,23.0,1144.7542,789.7981,0.94798905,0.98674375,8.902938,131.21912,254.59045,131.21912,0.11986554,0.023921376,0.03507491
1,1580.0,2.686747,17.40054,40.0,22.0,27.0,10.0,577.47705,185.86263,0.6252866,0.7745097,0.09721098,134.80904,51.735176,96.48684,0.04622534,0.01781957,0.030701196
1,272.0,2.0579169,12.978039,40.0,37.0,22.0,5.0,948.43787,688.55865,0.96887785,0.98867744,1.5920023,140.5443,220.57166,140.5443,0.13358775,0.021399433,0.08346957
1,1547.0,37.484856,12.339217,10.0,32.0,28.0,15.0,1328.0791,984.26495,0.72741747,0.96415234,569.67163,480.02206,341.4213,288.01324,0.14927511,0.03147493,0.05312612
1,511.0,9.775452,13.765179,80.0,37.0,26.0,18.0,1364.9838,934.1045,0.75715667,0.95132667,24.199678,525.82416,263.52707,288.7829,0.2951635,0.07756384,0.101090446
1,369.0,4.8482256,11.659296,40.0,33.0,26.0,11.0,1090.2263,750.6592,0.96691877,0.9878307,23.34442,106.46385,244.2089,106.46385,0.12047283,0.02493794,0.04518916
1,243.0,2.2193756,12.382611,10.0,36.0,25.0,5.0,864.8497,609.0533,0.9708012,0.9950263,5.2729387,86.75483,161.47789,109.68441,0.13975865,0.018740905,0.079543434
1,240.0,1.3568518,13.925714,40.0,34.0,22.0,3.0,1044.9164,808.3029,0.98757696,0.9910735,1.8916807,365.8788,262.70728,182.9394,0.16550456,0.027882282,0.098747745
1,588.0,7.51506,11.659863,40.0,40.0,27.0,14.0,1220.1736,926.2907,0.9727859,1.0,14.91948,629.7549,303.65308,314.20416,0.009104028,0.0077641923,0.0025486522
1,220.0,1.9900978,13.266231,40.0,20.0,32.0,6.0,712.5122,503.26782,0.97500205,1.0,1.9963373,0.0,154.40645,123.74589,0.19747779,0.01696997,0.0968307
1,1742.0,13.110304,11.076651,30.0,26.0,27.0,14.0,717.3382,295.5049,0.9582991,0.985597,105.8404,313.9974,85.15331,220.03479,0.122486286,0.14065361,0.039082535
1,1493.0,33.422024,9.501882,10.0,35.0,27.0,16.0,1326.2523,1008.04926,0.8628635,0.99516624,783.8303,466.36282,340.43134,275.13474,0.13949405,0.026513321,0.05183679
1,948.0,12.421058,10.793069,10.0,31.0,26.0,14.0,1229.0392,854.9863,0.9474013,0.9935065,86.232315,240.40024,236.97438,240.40024,0.14731963,0.026095184,0.05834858
1,1578.0,2.5022962,19.035892,40.0,22.0,26.0,11.0,545.52954,173.84163,0.54430556,0.4474013,0.041475095,120.99667,52.023438,88.33198,0.040696338,0.015665859,0.036593474
1,236.0,1.4015623,13.175937,40.0,37.0,22.0,3.0,953.99384,733.69666,0.9765865,0.9954553,1.1138016,317.18848,233.65572,163.07283,0.13585591,0.025111606,0.086058095
1,440.0,11.665695,10.385796,10.0,36.0,24.0,23.0,1067.6183,718.7261,0.96190333,0.9865925,94.21142,49.528732,263.69846,80.397575,0.16942972,0.05534656,0.087316886
1,1334.0,34.735344,9.747983,10.0,30.0,29.0,15.0,1591.1805,972.6452,0.9234292,0.99102336,357.70227,699.74335,271.40897,497.9809,0.33984327,0.11795235,0.12486557
1,1579.0,2.2500231,17.626484,40.0,23.0,25.0,13.0,529.63776,181.32913,0.6552889,0.8485487,0.25563705,149.88576,63.144066,91.891685,0.038182948,0.015479898,0.014680849
1,580.0,31.892548,10.715523,10.0,36.0,26.0,18.0,1348.1592,949.9104,0.8766543,0.97902685,182.74916,503.7603,288.50305,274.88562,0.23817948,0.059050154,0.08650494
1,238.0,2.247841,12.642549,30.0,37.0,24.0,4.0,856.34845,637.74866,0.9573318,0.9999962,2.895395,263.21396,162.76996,263.21396,0.124380894,0.017966937,0.078856304
1,236.0,1.7536049,13.651958,40.0,37.0,20.0,3.0,963.3587,745.33545,0.98382896,0.9938484,1.0601281,315.79276,212.68626,168.87445,0.13178416,0.023342913,0.08266875
1,397.0,14.465612,11.186333,10.0,28.0,22.0,16.0,1052.3716,709.9321,0.89268136,0.96246374,53.00404,104.274155,253.75775,104.274155,0.11593378,0.031527054,0.051320184
1,1587.0,2.0503018,13.601865,10.0,17.0,29.0,10.0,730.337,212.92752,0.7041784,0.95440984,0.87639993,124.66499,86.23112,96.03997,0.17455,0.20033559,0.06094925
1,1344.0,27.0654,10.132667,10.0,27.0,33.0,15.0,1432.3481,932.69055,0.83993214,0.99358934,537.7819,605.475,242.52356,496.78616,0.33628207,0.107971266,0.1167817
1,363.0,3.9772394,11.843523,40.0,23.0,19.0,9.0,1154.6255,791.9392,0.9945362,0.9981516,16.703745,134.65845,232.57568,134.65845,0.07658138,0.012204337,0.02437669
1,572.0,11.763155,10.658962,10.0,35.0,21.0,16.0,1142.2694,853.7788,0.9874456,1.0,135.82463,525.4499,264.4368,341.84116,0.07713429,0.014748426,0.020702695
1,230.0,3.1905785,12.668684,40.0,31.0,28.0,2.0,794.64984,598.3863,0.9946372,0.9949802,2.512249,260.97583,148.97272,260.97583,0.1269625,0.01499947,0.07669987
1,1404.0,25.83911,10.402526,30.0,35.0,25.0,15.0,1054.2878,629.9104,0.75602573,0.9462624,92.64612,417.62424,203.43292,292.04352,0.11105708,0.027909802,0.03720429
1,1043.0,22.813236,10.272836,40.0,40.0,26.0,16.0,699.5198,405.3503,0.9580982,0.990726,129.58229,316.62003,150.40848,175.88652,0.07976576,0.028631166,0.03945384
1,964.0,29.50003,9.879804,10.0,31.0,29.0,15.0,1382.226,930.67065,0.9355847,0.99898756,206.1023,570.2147,253.3478,362.9019,0.31574255,0.08810622,0.10938353
1,277.0,2.7077503,12.276617,10.0,37.0,22.0,6.0,959.93335,705.9151,0.9819104,0.99691164,12.673859,202.01436,205.00386,202.01436,0.13186243,0.0214294,0.083731405
1,1477.0,33.34123,9.443828,10.0,32.0,30.0,14.0,1278.9282,909.01514,0.46349502,0.9214566,455.2668,459.1347,288.7364,277.00308,0.18283716,0.036988787,0.07062628
1,227.0,2.1228652,13.293767,40.0,30.0,26.0,2.0,771.0518,586.9534,0.9865815,0.9978224,1.1334987,264.27097,142.70999,264.27097,0.12762177,0.014850372,0.07766942
1,218.0,2.2465124,12.630824,80.0,29.0,29.0,9.0,831.7231,575.78485,0.9836138,0.9921402,3.499027,0.0,201.125,149.5621,0.20820999,0.03509466,0.10397628
1,1229.0,32.239082,9.612739,10.0,36.0,29.0,16.0,850.155,470.05487,0.5266296,0.92904514,358.80765,315.71643,161.69287,188.56139,0.13019192,0.03987949,0.04461993
1,227.0,2.3728192,12.79243,40.0,31.0,26.0,2.0,767.9194,583.06055,0.9844931,1.0,2.8799882,260.49063,141.44992,260.49063,0.12823823,0.014097517,0.07683707
1,354.0,4.183649,12.443305,80.0,32.0,24.0,10.0,1084.6201,743.94995,0.94857645,0.9873759,8.773088,122.56899,217.94904,122.56899,0.09456177,0.018911803,0.041726958
1,251.0,3.080237,11.878739,60.0,37.0,25.0,10.0,849.15155,583.76086,0.9993336,0.99903464,26.023375,0.0,221.53813,150.44022,0.19883355,0.028950343,0.09788756
1,449.0,14.642988,10.807683,10.0,36.0,23.0,16.0,1129.2115,835.38416,0.94920343,0.99921834,114.170105,494.0031,250.16708,370.16696,0.11504983,0.020414267,0.048155442
1,290.0,1.4249748,12.816558,40.0,34.0,21.0,6.0,1083.1315,825.3687,0.97728336,0.99043447,11.783254,320.4906,275.1447,229.40915,0.16925223,0.034144316,0.102245
1,1582.0,3.7213166,14.94696,30.0,25.0,26.0,12.0,654.6876,203.43988,0.63517183,0.73493916,0.54712737,143.51257,66.34616,138.16756,0.083527915,0.03572166,0.03690604
1,213.0,2.4688,13.022074,80.0,26.0,28.0,7.0,779.33466,541.7207,0.9888936,0.9995538,2.3307834,0.0,181.4664,184.0638,0.18108965,0.018838903,0.09206107
1,235.0,1.5670211,13.44552,40.0,36.0,20.0,4.0,923.99207,696.38403,0.97379607,0.9971504,5.469749,299.24478,252.66559,175.52487,0.13614403,0.026892489,0.08801902
1,490.0,7.412904,11.116244,50.0,40.0,23.0,10.0,1141.8182,884.14044,0.97826284,0.9959113,145.65704,525.14874,322.69757,312.02332,0.07122551,0.012039348,0.03037734
1,226.0,2.0940273,12.952282,40.0,26.0,29.0,2.0,765.94604,586.8753,0.97633404,0.99995667,2.1197312,269.5845,140.3669,269.5845,0.1272439,0.015760558,0.07888817
1,239.0,1.6553049,13.199915,10.0,35.0,20.0,3.0,985.56683,763.6298,0.9753741,0.997738,0.9844473,327.35156,214.65613,171.38103,0.13781506,0.023787968,0.0848923
1,1063.0,30.509811,9.903184,10.0,37.0,25.0,18.0,1324.4326,987.9424,0.8602355,0.9680186,141.01674,516.3508,351.94302,320.9331,0.13249351,0.029434191,0.045117415
1,1586.0,28.740885,9.735514,10.0,31.0,31.0,15.0,1262.928,818.7735,0.3760204,0.9223703,704.9177,442.20593,253.09114,274.87354,0.17762125,0.038522497,0.068023436
1,655.0,23.110342,11.031634,10.0,35.0,28.0,17.0,1349.7135,940.8716,0.91741586,0.9615826,167.593,507.86224,270.779,277.10184,0.2691156,0.06956461,0.093249395
1,261.0,3.4724333,12.00749,40.0,37.0,22.0,8.0,953.8505,664.84406,0.98501647,1.0,6.1440525,25.145874,275.93384,165.3236,0.17339772,0.03810047,0.09463311
1,1279.0,25.484447,9.824095,10.0,35.0,28.0,15.0,1120.0898,785.13025,0.8994121,0.9976394,611.60944,448.28015,265.0892,274.3521,0.13144888,0.026448375,0.04372236
1,250.0,3.1532698,12.667369,30.0,40.0,20.0,6.0,914.3546,677.78577,0.9833155,0.98913735,1.802428,243.69104,180.7404,243.69104,0.1243569,0.019407654,0.07908392
1,1586.0,1.6132448,16.29678,10.0,21.0,28.0,11.0,710.92365,220.80334,0.567473,0.6096561,0.43320528,156.6757,83.95999,125.02526,0.16789511,0.20881984,0.0591654
1,755.0,15.372003,10.531964,10.0,37.0,27.0,14.0,1300.9454,1009.4081,0.9784937,0.9966921,137.35922,572.2288,348.05527,297.95898,0.08125528,0.014253761,0.030439995
1,371.0,12.349458,12.102435,40.0,36.0,24.0,23.0,1098.5004,732.5475,0.91905767,0.97965467,26.17643,73.005104,270.4123,82.709435,0.19590831,0.06889067,0.10161863
1,731.0,20.622915,10.086337,10.0,37.0,23.0,16.0,1343.3892,1003.79913,0.9561886,0.9916327,259.0518,462.1953,336.8329,254.53575,0.19055113,0.03656175,0.07495686
