date,rain_1d,rain_3d,rain_7d,rain_14d,rain_30d,max_rain_3d,is_flood
2000-01-30,0.2042374426318769,0.207334668314176,0.7248224766186714,3.430252855455212,16.812510122908748,0.2042374426318769,0
2000-01-31,2.2470748650459957,2.4513123076778727,2.7578271371716303,5.635317890356988,19.059584987954743,2.2470748650459957,0
2000-02-01,2.584894242227596,5.036206549905469,5.044797937281491,6.615967228027532,21.64447923018234,2.584894242227596,0
2000-02-02,0.3975966316653183,5.22956573893891,5.439490997216109,6.126100230149157,22.04207586184766,2.584894242227596,0
2000-02-03,0.1090555798324808,3.091546453725395,5.545955987085566,6.235155809981638,22.15113144168014,2.584894242227596,0
2000-02-04,0.8343939497806493,1.3410461612784483,6.377252711183917,6.911320425605705,22.95788808097292,0.8343939497806493,0
2000-02-05,0.6402087065011416,1.5836582361142715,7.017461417685058,7.541067068790055,23.55612793339086,0.8343939497806493,0
2000-02-06,0.0198295734006704,1.4944322296824613,6.833053548453852,7.557876025072524,22.776367787391365,0.8343939497806493,0
2000-02-07,0.0019248609303969,0.6619631408322089,4.587903544338253,7.345730681509884,22.600914884438165,0.6402087065011416,0
2000-02-08,0.0848460949174002,0.1066005292484675,2.0878553970280573,7.132653334309549,22.029499168398907,0.0848460949174002,0
2000-02-09,1.05887711192879,1.1456480677765872,2.749135877291529,8.188626874507639,22.682015070500412,1.05887711192879,0
2000-02-10,3.2879869039503227,4.431710110796513,5.928067201409371,11.474023188494938,22.09213714768167,3.2879869039503227,0
2000-02-11,0.8611659356063079,5.208029951485421,5.95483918723503,12.332091898418946,18.01824222845881,3.2879869039503227,0
2000-02-12,0.5225607344855726,4.6717135740422036,5.837191215219461,12.85465263290452,18.24462104675245,3.2879869039503227,0
2000-02-13,0.0195386144374747,1.4032652845293552,5.836900256256265,12.669953804710117,17.113437054173147,0.8611659356063079,0
2000-02-14,0.324185738635137,0.8662850875581842,6.159161133961005,10.747064678299258,16.55356579383016,0.5225607344855726,0
2000-02-15,0.4776789441126486,0.8214032971852603,6.551993983156254,8.63984938018431,16.902071342913114,0.4776789441126486,0
2000-02-16,0.972488576031478,1.7743532587792634,6.465605447258942,9.21474132455047,17.832550088800375,0.972488576031478,0
2000-02-17,0.1485044634011013,1.5986719835452279,3.3261230067097203,9.254190208119091,16.37680964764442,0.972488576031478,0
2000-02-18,0.3162979984385071,1.4372910378710864,2.781255069541919,8.736094256776948,15.805644016539237,0.972488576031478,0
2000-02-19,0.9905830661703298,1.4553855280099381,3.2492774012266765,9.086468616446137,16.796227082709567,0.9905830661703298,0
2000-02-20,1.656007859867359,2.962888924476196,4.88574664665656,10.722646902912826,18.294005608420342,1.656007859867359,0
2000-02-21,0.5300667058472212,3.1766576318849102,5.091627613868645,11.25078874782965,18.813610250950774,1.656007859867359,0
2000-02-22,0.2155124126523279,2.4015869783669084,4.829461082408324,11.381455065564577,19.026102046484898,1.656007859867359,0
2000-02-23,0.2205443672249203,0.9661234857244694,4.077516873601766,10.543122320860709,19.03257620921678,0.5300667058472212,0
